subregion,region
Ain,rhone-alpes
Aisne,picardie
Allier,auvergne
Alpes-de-Haute-Provence,provence-alpes-cote-d-azur
Hautes-Alpes,provence-alpes-cote-d-azur
Alpes-Maritimes,provence-alpes-cote-d-azur
Ardèche,rhone-alpes
Ardennes,champagne-ardenne
Ariège,midi-pyrenees
Aube,champagne-ardenne
Aude,languedoc-roussillon
Aveyron,midi-pyrenees
Bouches-du-Rhône,provence-alpes-cote-d-azur
Calvados,basse-normandie
Cantal,auvergne
Charente,poitou-charentes
Charente-Maritime,poitou-charentes
Cher,centre
Corrèze,limousin
corse-du-Sud,corse
Haute-Corse,corse
South Corsica,corse
North Corsica,corse
Côte-d'Or,bourgogne
Côtes-d'Armor,bretagne
Creuse,limousin
Dordogne,aquitaine
Doubs,bourgogne
Drôme,rhone-alpes
Eure,haute-normandie
Eure-et-Loir,centre
Finistère,bretagne
Gard,languedoc-roussillon
Haute-Garonne,midi-pyrenees
Gers,midi-pyrenees
Gironde,aquitaine
Hérault,languedoc-roussillon
Ille-et-Vilaine,bretagne
Indre,centre
Indre-et-Loire,centre
Isère,rhone-alpes
Jura,franche-comte
Landes,aquitaine
Loir-et-Cher,centre
Loire,rhone-alpes
Haute-Loire,auvergne
Loire-Atlantique,pays-de-la-loire
Loiret,centre
Lot,midi-pyrenees
Lot-et-Garonne,aquitaine
Lozère,languedoc-roussillon
Maine-et-Loire,pays-de-la-loire
Manche,basse-normandie
Marne,champagne-ardenne
Haute-Marne,champagne-ardenne
Mayenne,pays-de-la-loire
Meurthe-et-Moselle,lorraine
Meuse,lorraine
Morbihan,bretagne
Moselle,lorraine
Nièvre,bourgogne
Nord,nord-pas-de-calais
Oise,picardie
Orne,basse-normandie
Pas-de-Calais,nord-pas-de-calais
Puy-de-Dôme,auvergne
Pyrénées-Atlantiques,aquitaine
Hautes-Pyrénées,midi-pyrenees
Pyrénées-Orientales,languedoc-roussillon
Bas-Rhin,alsace
Haut-Rhin,alsace
Rhône,rhone-alpes
Haute-Saône,franche-comte
Saône-et-Loire,bourgogne
Sarthe,pays-de-la-loire
Savoie,rhone-alpes
Haute-Savoie,rhone-alpes
Paris,ile-de-france
Seine-Maritime,haute-normandie
Seine-et-Marne,haute-normandie
Yvelines,ile-de-france
Deux-Sèvres,poitou-charentes
Somme,picardie
Tarn,midi-pyrenees
Tarn-et-Garonne,midi-pyrenees
Var,provence-alpes-cote-d-azur
Vaucluse,provence-alpes-cote-d-azur
Vendée,pays-de-la-loire
Vienne,poitou-charentes
Haute-Vienne,limousin
Vosges,languedoc-roussillon
Yonne,bourgogne
Territoire de Belfort,franche-comte
Essonne,ile-de-france
Hauts-de-Seine,ile-de-france
Seine-St-Denis,ile-de-france
Val-de-Marne,ile-de-france
Val-D'Oise,ile-de-france