subregion,region
Papua,papua
West Papua,papua
South Sulawesi,sulawesi
West Sulawesi,sulawesi
Southeast Sulawesi,sulawesi
Central Sulawesi,sulawesi
Gorontalo,sulawesi
North Sulawesi,sulawesi
Riau Islands,sumatra
Riau,sumatra
Jambi,sumatra
South Sumatra,sumatra
Lampung,sumatra
Bengkulu,sumatra
West Sumatra,sumatra
North Sumatra,sumatra
Aceh,sumatra
West Kalimantan,kalimantan
East Kalimantan,kalimantan
South Kalimantan,kalimantan
North Kalimantan,kalimantan
Central Kalimantan,kalimantan
Bangka-Belitung Islands,kalimantan
Central Java,java
Banten,java
East Java,java
Special Region of Yogyakarta,java
Moluccas,maluku
North Maluku, maluku
East Nusa Tenggara,nusa-tenggara
West Nusa Tenggara,nusa-tenggara
Bali,nusa-tenggara